title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Basic Instinct,movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,12.325623007433984,"AD, AE, AO, BH, CH, CV, CY, DK, DZ, EG, ES, FI, GH, GQ, GR, HK, IL, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LY, MA, MC, MZ, NG, NO, OM, PL, PS, PT, QA, SA, SC, SE, TN, TR, TW, TZ, UG, YE, ZA, ZM, ZW"
Driving Miss Daisy,movie,"Comedy, Drama",1989,tt0097239,7.3,11.690979595907617,KR
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,13.101004900401449,"AD, AE, AL, AO, BA, BE, BG, BH, CA, CH, CI, CM, CV, CY, CZ, DZ, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GQ, GR, HK, HR, HU, ID, IE, IL, IQ, JO, JP, KE, KR, KW, LB, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MU, MY, MZ, NE, NG, NL, OM, PF, PH, PL, PS, PT, QA, RO, RS, SA, SC, SG, SI, SK, SN, TD, TH, TN, TR, TW, TZ, UG, YE, ZA, ZM, ZW"
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,12.016750642691475,KR
Love Actually,movie,"Comedy, Drama, Romance",2003,tt0314331,7.6,13.202594990311072,"AD, AE, AL, AZ, BA, BE, BG, BH, BY, CH, CY, CZ, DK, DZ, EE, EG, ES, FI, GR, HK, HR, HU, IL, IQ, IS, IT, JO, JP, KR, KW, LB, LT, LV, LY, MA, MC, MD, ME, MK, NL, NO, OM, PL, PS, PT, QA, RO, RS, SA, SE, SI, SK, TN, TR, TW, YE"
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,13.26982257626848,"AU, IL, JP, KR, NZ"
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,13.71503586499035,"AD, AE, AG, AL, AO, AR, AT, BA, BB, BE, BG, BH, BM, BO, BR, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DO, DZ, EC, EG, ES, FR, GF, GH, GQ, GR, GT, HN, HR, HU, IN, IQ, JM, JO, KE, KR, KW, LB, LC, LI, LU, LY, MA, MC, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SI, SK, SN, SV, TC, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Spider-Man 2,movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,13.50116139158282,"AD, AE, AL, AO, BA, BE, BG, BH, CI, CM, CV, CY, CZ, DZ, EG, ES, GH, GQ, GR, HR, HU, IQ, JO, KE, KR, KW, LB, LU, LY, MA, ME, MG, MK, ML, MT, MZ, NE, NG, OM, PL, PS, PT, QA, RO, RS, SA, SC, SI, SK, SN, TN, TR, TZ, UG, YE, ZA, ZM, ZW"
Spider-Man 3,movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,13.392924723047692,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BM, BO, BR, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DO, DZ, EC, EG, ES, GF, GH, GQ, GR, GT, HN, HR, HU, IN, IQ, JM, JO, JP, KE, KR, KW, LB, LC, LI, LU, LY, MA, ME, MG, MK, ML, MT, MX, MZ, NE, NG, NI, NZ, OM, PA, PE, PK, PL, PS, PY, QA, RO, RS, SA, SC, SI, SK, SN, SV, TC, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7.0,12.86007610997249,"AD, AT, CH, DE, ES, FJ, HK, HR, ID, IN, JP, KR, LI, LU, MY, PH, PK, PT, SG, TH, TW"
The Mummy,movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,13.068882428687154,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GH, GQ, GR, GT, HN, HR, HU, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, SV, TC, TD, TN, TR, TT, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
2 Fast 2 Furious,movie,"Action, Crime, Thriller",2003,tt0322259,5.9,12.626761285409824,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
The Da Vinci Code,movie,"Mystery, Thriller",2006,tt0382625,6.6,13.053703307675585,"AD, AL, AT, BA, BG, CA, CH, CZ, DE, DK, EE, FI, FR, GF, HR, HU, IN, IS, JP, KR, LI, LT, LU, LV, MA, MC, ME, MK, MT, MU, NO, PF, PK, PL, RO, RS, SE, SI, SK, TN, TR"
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,14.090014681402836,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Munich,movie,"Drama, History, Thriller",2005,tt0408306,7.5,12.403783510466951,"AD, AE, AL, AO, AT, AU, AZ, BA, BE, BG, BH, BY, CH, CI, CM, CV, CZ, DE, DK, DZ, EG, ES, FI, FR, GB, GF, GH, GI, GQ, GR, HR, HU, IE, IL, IN, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LI, LT, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MZ, NE, NG, NL, NO, NZ, OM, PF, PK, PL, PS, PT, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TD, TN, TR, TZ, UA, UG, YE, ZA, ZM, ZW"
Boyz n the Hood,movie,"Crime, Drama",1991,tt0101507,7.8,11.978387546984688,"AE, AU, AZ, BE, BH, BY, CA, CY, DK, EE, EG, FI, GB, GF, GG, GI, GR, IE, IL, IQ, IS, JP, KR, KW, LB, LT, LU, LV, LY, MD, MT, NL, NO, NZ, PL, PS, QA, SA, SE, TR, UA, US"
Troy,movie,"Adventure, Drama",2004,tt0332452,7.3,13.277320589040206,"AD, ES, GB, GG, HR, IE, KR, PT"
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,13.398604753960486,"HK, KR, US"
Pulp Fiction,movie,"Crime, Drama",1994,tt0110912,8.9,14.640863377725907,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BE, BG, BH, BO, BR, BY, BZ, CH, CI, CL, CM, CO, CR, CV, CZ, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GB, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
Shaun of the Dead,movie,"Comedy, Horror",2004,tt0365748,7.9,13.321215875492413,"AD, AE, AL, AU, AZ, BA, BE, BG, BH, BY, CA, CH, CY, CZ, DK, DZ, EE, EG, ES, FI, FR, GB, GF, GG, GI, GR, HK, HR, HU, IE, IL, IQ, IS, IT, JO, JP, KR, KW, LB, LT, LU, LV, LY, MA, MC, MD, ME, MK, NO, NZ, OM, PF, PL, PS, PT, QA, RO, RS, SA, SE, SI, SK, TN, TR, TW, YE"
The Fog,movie,"Horror, Mystery",2005,tt0432291,3.7,10.594707877902358,"CA, IL, JP, KR, PL"
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,14.435565942196604,"AD, BA, BG, CA, CZ, ES, FJ, HK, HR, HU, ID, IN, JP, KR, MD, ME, MK, MY, PH, PK, PL, PT, RO, RS, SG, SI, SK, TH, TW"
In the Mood for Love,movie,"Drama, Romance",2000,tt0118694,8.1,12.05620278988639,KR
2046,movie,"Drama, Romance, Sci-Fi",2004,tt0212712,7.4,11.048633493109792,KR
The Mask,movie,"Comedy, Crime, Fantasy",1994,tt0110475,7.0,12.984720687825778,"AD, BA, BG, CA, CH, CZ, ES, FJ, HK, HR, HU, ID, IN, IT, JP, KR, MD, ME, MK, MY, PH, PK, PL, PT, RO, RS, SG, SI, SK, SM, TH, TW"
Saving Private Ryan,movie,"Drama, War",1998,tt0120815,8.6,14.245710554191952,"AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LY, MA, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Cinderella Man,movie,"Biography, Drama, Romance",2005,tt0352248,8.0,12.214913450195656,"AG, BM, BO, BS, BZ, CL, CO, CR, DK, DO, EC, GB, GG, GT, HK, HN, IE, JM, KR, LC, MX, NO, PA, PE, PT, PY, SE, SV, TC, TW, US, UY"
Madagascar,movie,"Adventure, Animation, Comedy",2005,tt0351283,6.9,13.015639710856124,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HN, HR, HU, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, SV, TC, TN, TR, TT, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
Mission: Impossible,movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,13.082786440811011,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GB, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Mission: Impossible II,movie,"Action, Adventure, Thriller",2000,tt0120755,6.1,12.862130440044746,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GB, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Mission: Impossible III,movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,12.89437309966417,"AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BZ, CH, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, GB, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LY, MA, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, OM, PA, PE, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Irreversible,movie,"Crime, Drama, Mystery",2002,tt0290673,7.3,11.930444300801602,KR
Point Break,movie,"Action, Crime, Thriller",1991,tt0102685,7.3,12.25170067255239,KR
The Thirteenth Floor,movie,"Mystery, Sci-Fi, Thriller",1999,tt0139809,7.0,11.274871300920264,KR
The Queen,movie,"Biography, Drama",2006,tt0436697,7.3,11.669706966862654,"CA, KR"
Ghost Rider,movie,"Action, Fantasy, Thriller",2007,tt0259324,5.3,12.458716744962006,"AE, AG, AL, AR, AU, BA, BB, BG, BH, BM, BO, BR, BS, BZ, CL, CO, CR, CU, CZ, DO, EC, EG, FJ, GF, GT, HK, HN, HR, HU, ID, IQ, JM, JO, JP, KR, KW, LB, LC, LY, ME, MK, MT, MX, MY, NI, NZ, OM, PA, PE, PH, PL, PS, PY, QA, RO, RS, SA, SG, SI, SK, SV, TC, TH, TT, TW, UY, VE, YE"
The Host,movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,11.818769113046812,"KR, PS"
300,movie,"Action, Drama",2006,tt0416449,7.6,13.68710884315975,"AD, BA, BE, BG, CH, CY, CZ, ES, FR, GF, HR, HU, IN, KR, LU, MC, MD, ME, MK, PF, PL, PT, RO, RS, SI, SK, TR, US"
3-Iron,movie,"Crime, Drama, Romance",2004,tt0423866,7.9,10.989504181217818,KR
Blood Diamond,movie,"Adventure, Drama, Thriller",2006,tt0450259,8.0,13.302114967995646,"AD, AT, CH, CY, DE, ES, GB, GG, IE, JP, KR, LI, LU, PT, TR"
The Pursuit of Happyness,movie,"Biography, Drama",2006,tt0454921,8.0,13.268062442741783,"AD, AG, AO, AR, BB, BE, BM, BO, BR, BS, BZ, CI, CL, CM, CO, CR, CU, CV, DO, EC, ES, FJ, GF, GH, GQ, GT, HK, HN, ID, IL, JM, JP, KE, KR, LC, LU, MG, ML, MX, MY, MZ, NE, NG, NI, NL, PA, PE, PH, PL, PT, PY, SC, SG, SN, SV, TC, TD, TH, TT, TW, TZ, UG, UY, VE, ZA, ZM, ZW"
Pan's Labyrinth,movie,"Drama, Fantasy, War",2006,tt0457430,8.2,13.480632050681518,KR
Perfume: The Story of a Murderer,movie,"Crime, Drama, Fantasy",2006,tt0396171,7.5,12.50559188150765,"AE, AO, AT, BH, CH, CI, CM, DE, EG, GH, GQ, ID, IQ, JO, KE, KR, KW, LB, LI, LU, LY, MY, MZ, NE, NG, OM, PH, QA, SA, SC, SG, SN, TH, TR, TZ, UG, YE, ZA, ZM, ZW"
The Virgin Suicides,movie,"Drama, Romance",1999,tt0159097,7.2,12.071174605182213,"AD, AE, AL, AZ, BA, BG, BH, BY, CH, CY, CZ, DK, EE, EG, ES, FI, FR, GF, GR, HK, HR, HU, IL, IQ, IS, IT, JO, KR, KW, LB, LT, LV, LY, MA, MC, MD, ME, MK, NO, OM, PF, PL, PS, PT, QA, RO, RS, SA, SE, SI, SK, TN, TR, TW, YE"
Hellboy,movie,"Action, Adventure, Fantasy",2004,tt0167190,6.9,12.78620229237044,"AD, AG, AR, BB, BE, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DK, DO, DZ, EC, ES, FI, FJ, FR, GF, GT, HK, HN, ID, IS, JM, JP, KR, LC, LU, MA, MC, MU, MX, MY, NI, NO, PA, PE, PF, PH, PY, SE, SG, SV, TC, TH, TN, TR, TT, TW, UY, VE"
Miss Congeniality,movie,"Action, Comedy, Crime",2000,tt0212346,6.3,12.37141334010159,"CA, KR"
Curse of the Golden Flower,movie,"Action, Drama, Romance",2006,tt0473444,7.0,10.746067156580358,"KR, TW"
Spy Game,movie,"Action, Crime, Thriller",2001,tt0266987,7.1,12.046965536207892,"KR, US"
